COIL_NO,ORDER NUMBER,LINE,PRODUCTION DATE,PRODUCT SPECIFICATION CODE,HR STEEL GRADE,QUALITY_CODE,ORDER GAUGE,ORDER WIDTH,TOP COATMASS,"Standard 
 Hardness",冶金/ Standard,"HARDNESS
 冶金","HARDNESS
 鍍鋅線
 N","HARDNESS
 鍍鋅線
 C","HARDNESS
 鍍鋅線
 S",鍍鋅線/ standard,Percentage difference (%) N,Percentage difference (%) C,Percentage difference (%) S,Compare results,TENSILE_YIELD,TENSILE_TENSILE,TENSILE_ELONG
3CB252A00,D3G239303,31CP,2024/1/2,N SGCCT,A1081,CQ00,0.951,1524,Z12,56~62,OK,58.5,58.9,61,59.4,High,0.68,4.27,1.54,C,304,372,39
3CM110B00,D3G235701,31CP,2024/1/2,N SGCCT,A1081,CQ00,1.15,1219,Z12,56~62,OK,60.3,59.1,60.5,59.8,OK,-1.99,0.33,-0.83,C,287,382,37
3CM108B00,D3G235701,31CP,2024/1/2,N SGCCT,A1081,CQ00,1.15,1219,Z12,56~62,LOW,56.3,58.8,59.7,60.2,OK,4.44,6.04,6.93,S,260,375,38
3CC032X00,D3G231005,31CP,2024/1/2,N SGCCT,A1081,CQ00,1.2,1524,Z27,56~62,OK,58.8,60.9,61.1,60.6,High,3.57,3.91,3.06,C,269,375,40
3CM111B00,D3G235701,31CP,2024/1/2,N SGCCT,A1081,CQ00,1.15,1219,Z12,56~62,High,61.5,63.9,63.2,64.6,OVER,3.9,2.76,5.04,S,279,385,36
3AL212X00,D3G22W704,31CP,2024/1/7,N SGCCT,A108M,CQ00,2,1220,Z12,60~68,LOW,60,62.7,64.2,63.8,OK,4.5,7,6.33,C,270,381,37
3CL938B00,PAG256705,31CP,2024/1/7,A653/CSBT,A108,CQ00,1.184,1219,G90,58~62,UNDER,54.6,55.4,55.7,56.2,UNDER,1.47,2.01,2.93,S,253,356,38
41A256B00,PAG256702,31CP,2024/1/7,A653/CSBT,A1081,CQ00,0.904,1219,G90,56~62,UNDER,52.5,58.7,57.4,56.6,OK,11.81,9.33,7.81,N,286,374,38
41A002A00,PAG25D107,31CP,2024/1/6,A653/CSBT,A1081,CQ00,1.184,1524,G90,56~62,OK,60.6,60.1,60.4,59.6,OK,-0.83,-0.33,-1.65,C,321,384,37
41A001A00,PAG25D107,31CP,2024/1/6,A653/CSBT,A1081,CQ00,1.184,1524,G90,56~62,OK,60.1,60.8,62.7,61.6,OVER,1.16,4.33,2.5,C,311,383,38
3CC111B00,D3G235701,31CP,2024/1/7,N SGCCT,A1081,CQ00,1.15,1219,Z12,56~62,OK,58,59.7,60.4,59.5,OK,2.93,4.14,2.59,C,283,373,38
3CL800B00,PAG25D104,31CP,2024/1/7,A653/CSBT,A108M,CQ00,1.79,1219,G90,60~68,UNDER,58.9,62.6,63,62.8,OK,6.28,6.96,6.62,C,274,383,38
41A019B00,PAG25D108,31CP,2024/1/7,A653/CSBT,A1081,CQ00,0.904,1219,G90,56~62,UNDER,55.2,58,58.2,57.7,OK,5.07,5.43,4.53,C,278,371,37
3CC104B00,D3G235706,31CP,2024/1/7,N SGCCT,A1081,CQ00,0.951,1219,Z12,56~62,OK,59,63.8,64.2,64.1,OVER,8.14,8.81,8.64,C,305,379,38
3CL950B00,PAG25D106,31CP,2024/1/7,A653/CSBT,A108,CQ00,1.184,1219,G90,58~62,UNDER,54.8,56,57.4,56.8,UNDER,2.19,4.74,3.65,C,241,351,39
3CL999B00,PAG25D105,31CP,2024/1/7,A653/CSBT,A1081,CQ00,1.461,1219,G90,56~62,OK,59.6,62.2,63.1,62.8,OVER,4.36,5.87,5.37,C,303,377,39
3CL997B00,PAG25D105,31CP,2024/1/7,A653/CSBT,A1081,CQ00,1.461,1219,G90,56~62,OK,60.2,61.8,62.8,62.6,OVER,2.66,4.32,3.99,C,298,383,38
3CL952B00,PAG256705,31CP,2024/1/7,A653/CSBT,A1081,CQ00,1.184,1219,G90,56~62,UNDER,54.6,56,56.2,56.4,LOW,2.56,2.93,3.3,S,270,363,40
3CL754X00,D3G22W704,31CP,2024/1/7,N SGCCT,A108M,CQ00,2,1220,Z12,60~68,UNDER,59.5,62,63.1,63.3,OK,4.2,6.05,6.39,S,304,380,38
3AL214X00,D3G22W704,31CP,2024/1/7,N SGCCT,A108M,CQ00,2,1220,Z12,60~68,UNDER,59.8,62.7,64.2,63.8,OK,4.85,7.36,6.69,C,283,386,36
41L328B00,D3G23B701,32CP,2024/1/10,N SGHCT,A1081,CQ00,1.55,1219,Z12,56~62,OK,57.4,59.4,60.2,58.8,OK,3.48,4.88,2.44,C,300,361,40
41L330B00,D3G23B701,32CP,2024/1/10,N SGHCT,A1081,CQ00,1.55,1219,Z12,56~62,OVER,63,65.2,66.4,63.4,OVER,3.49,5.4,0.63,C,317,380,40
41L329B00,D3G23B701,32CP,2024/1/10,N SGHCT,A1081,CQ00,1.55,1219,Z12,56~62,LOW,56.4,59.2,58.9,59.1,OK,4.96,4.43,4.79,N,302,360,41
41L327B00,D3G23B701,32CP,2024/1/10,N SGHCT,A1081,CQ00,1.55,1219,Z12,56~62,OK,59.9,61.3,60.4,60.5,OK,2.34,0.83,1,N,309,371,39
